,国名,date,value,types
0,総数,2003-01-01,450847.0,date
1,アジア計,2003-01-01,317311.0,date
2,韓国,2003-01-01,147238.0,date
3,中国,2003-01-01,40824.0,date
4,台湾,2003-01-01,68464.0,date
5,香港,2003-01-01,23793.0,date
6,タイ,2003-01-01,4020.0,date
7,シンガポール,2003-01-01,4112.0,date
8,マレーシア,2003-01-01,4218.0,date
9,インドネシア,2003-01-01,3925.0,date
10,フィリピン,2003-01-01,10224.0,date
11,ベトナム,2003-01-01,1086.0,date
12,インド,2003-01-01,4238.0,date
13,イスラエル,2003-01-01,661.0,date
14,トルコ,2003-01-01,410.0,date
15,ヨーロッパ計,2003-01-01,47787.0,date
16,英国,2003-01-01,16746.0,date
17,フランス,2003-01-01,6445.0,date
18,ドイツ,2003-01-01,6065.0,date
19,イタリア,2003-01-01,2357.0,date
20,ロシア,2003-01-01,2484.0,date
21,スペイン,2003-01-01,855.0,date
22,スウェーデン,2003-01-01,1472.0,date
23,オランダ,2003-01-01,1623.0,date
24,スイス,2003-01-01,1051.0,date
25,ベルギー,2003-01-01,791.0,date
26,フィンランド,2003-01-01,769.0,date
27,ポーランド,2003-01-01,377.0,date
28,デンマーク,2003-01-01,773.0,date
29,ノルウェー,2003-01-01,498.0,date
30,オーストリア,2003-01-01,757.0,date
31,ポルトガル,2003-01-01,513.0,date
32,アイルランド,2003-01-01,1110.0,date
33,アフリカ計,2003-01-01,1338.0,date
34,北アメリカ計,2003-01-01,63525.0,date
35,米国,2003-01-01,50765.0,date
36,カナダ,2003-01-01,11587.0,date
37,メキシコ,2003-01-01,751.0,date
38,南アメリカ計,2003-01-01,2099.0,date
39,ブラジル,2003-01-01,964.0,date
40,オセアニア計,2003-01-01,18693.0,date
41,豪州,2003-01-01,15405.0,date
42,ニュージーランド,2003-01-01,3039.0,date
43,無国籍・その他,2003-01-01,94.0,date
44,総数,2003-02-01,394869.0,date
45,アジア計,2003-02-01,281263.0,date
46,韓国,2003-02-01,112988.0,date
47,中国,2003-02-01,41864.0,date
48,台湾,2003-02-01,66734.0,date
49,香港,2003-02-01,25924.0,date
50,タイ,2003-02-01,4252.0,date
